"id","id","category_id","attribute_key","attribute_value","language","created_at","updated_at","created_by","updated_by"
33,65,33,name,Antiviral,english,"2018-11-16 16:38:36","2018-11-16 16:38:36",Control Center,Control Center
33,375,33,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Virus.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 16:31:46",Dev,Control Center
33,337,33,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Virus.html,english,"2019-03-08 17:21:20","2020-03-20 08:06:11",Dev,Control Center
17,178,17,meta_description,Dapatkan informasi obat antibiotik paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ✓ Order obat di Halodoc ✓ #TenangAdaHalodoc,bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:30:52",Dev,CC Token
17,175,17,meta_description, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
17,174,17,meta_keywords,Obat Antibiotik,bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:30:52",Dev,CC Token
17,177,17,meta_keywords, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
17,176,17,meta_title,"Informasi Obat Antibiotik, Dosis, Efek Samping - Halodoc",bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:30:52",Dev,CC Token
17,173,17,meta_title, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
17,46,17,name,Antibiotik & Anti Jamur,bahasa_indonesia,"2017-10-31 20:52:57","2021-05-28 18:25:11",Dev,CC Token
17,17,17,name,Antibiotics & Antifungal,english,"2017-10-31 20:52:55","2021-05-27 16:55:52",Dev,CC Token
17,359,17,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Antibiotik.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 13:14:22",Dev,Control Center
17,321,17,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Antibiotik.html,english,"2019-03-08 17:21:20","2020-03-20 07:54:57",Dev,Control Center
18,184,18,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Antiseptik. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,181,18,meta_description, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,180,18,meta_keywords,Kategori Antiseptik,bahasa_indonesia,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,183,18,meta_keywords, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,182,18,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Antiseptik,bahasa_indonesia,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,179,18,meta_title, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
18,47,18,name,Antiseptik,bahasa_indonesia,"2017-10-31 20:52:57","2017-10-31 20:52:57",Dev,Dev
18,18,18,name,Antiseptic,english,"2017-10-31 20:52:55","2018-06-06 13:24:15",Dev,Control Center
18,360,18,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Antiseptik.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 13:16:17",Dev,Control Center
18,322,18,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Antiseptik.html,english,"2019-03-08 17:21:20","2020-03-20 08:05:16",Dev,Control Center
697,4475,697,blibli_category_ids,AR-1000014,bahasa_indonesia,"2023-09-29 13:52:17","2023-09-29 13:52:17",Dev,Dev
697,4010,697,meta_description,Temukan Produk Ibu & Anak > Keamanan Bayi dan Balita > Aromaterapi Anak & Diffuser paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ? Order obat di Halodoc ? #TenangMenjaga,bahasa_indonesia,"2023-09-05 09:57:38","2023-09-05 09:57:38",Dev,Dev
697,4011,697,meta_keywords,Produk Ibu & Anak > Keamanan Bayi dan Balita > Aromaterapi Anak & Diffuser Obat Perawatan Halodoc,bahasa_indonesia,"2023-09-05 09:57:38","2023-09-05 09:57:38",Dev,Dev
697,4008,697,name,Ibu & Anak > Keamanan Bayi dan Balita > Aromaterapi Anak & Diffuser,bahasa_indonesia,"2023-09-05 09:57:38","2023-09-05 09:57:38",Dev,Dev
697,4009,697,name,Ibu & Anak > Keamanan Bayi dan Balita > Aromaterapi Anak & Diffuser,english,"2023-09-05 09:57:38","2023-09-05 09:57:38",Dev,Dev
16,172,16,meta_description,Dapatkan informasi obat asma paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ✓ Order obat di Halodoc ✓ #TenangAdaHalodoc!,bahasa_indonesia,"2019-03-01 17:06:50","2022-04-07 09:04:51",Dev,CC Token
16,169,16,meta_description, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
16,168,16,meta_keywords,obat asma,bahasa_indonesia,"2019-03-01 17:06:50","2022-04-07 09:04:51",Dev,CC Token
16,171,16,meta_keywords, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
16,170,16,meta_title,"Informasi Obat Asma, Dosis, Efek Samping - Halodoc",bahasa_indonesia,"2019-03-01 17:06:50","2022-04-07 09:04:51",Dev,CC Token
16,167,16,meta_title, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
16,45,16,name,Asma,bahasa_indonesia,"2017-10-31 20:52:57","2017-10-31 20:52:57",Dev,Dev
16,16,16,name,Asthma,english,"2017-10-31 20:52:55","2018-06-06 13:19:06",Dev,Control Center
16,358,16,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Asma.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 13:27:10",Dev,Control Center
16,320,16,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Asma.html,english,"2019-03-08 17:21:20","2020-03-20 08:02:55",Dev,Control Center
32,268,32,meta_description, ,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,265,32,meta_description, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,264,32,meta_keywords, ,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,267,32,meta_keywords, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,266,32,meta_title, ,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,263,32,meta_title, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
32,63,32,name,Bayi,bahasa_indonesia,"2018-05-25 09:50:34","2018-05-25 09:50:34",Control Center,Control Center
32,64,32,name,Baby,english,"2018-05-25 09:50:34","2018-05-25 09:50:34",Control Center,Control Center
32,374,32,seo_url, ,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-14 17:15:47",Dev,Dev
32,336,32,seo_url, ,english,"2019-03-08 17:21:20","2019-03-08 17:21:20",Dev,Dev
