"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
80,19,147,all,999,mg/dL,range,"0,100",< 100,"70 - 99     : Normal
100 - 125: Prediabetes
>=126      : Diabetes",0,"2024-09-24 10:51:09","2024-12-12 11:37:46",Dev Token,Dev Token,289274
81,19,577,all,999,mg/dL,range,"0,140",< 140,"Normal        : 70 - 139
Prediabetes: 140 - 199
Diabetes      : >= 200",0,"2024-09-24 10:51:10","2024-12-11 12:26:35",Dev Token,Dev Token,288917
82,19,79,all,999,%,range,"0,5.7",< 5.7,"<5.7        : Normal
5.7 - 6.4 : Prediabetes
>=6.5      : Diabetes",0,"2024-09-24 10:51:11","2024-12-11 12:26:36",Dev Token,Dev Token,288917
83,19,148,all,999,"",contains,Non Reaktif,Non Reaktif,"",0,"2024-09-24 14:54:15","2024-12-11 12:26:37",Dev Token,Dev Token,288917
84,19,305,all,999,mg/dL,range,"5.9,20.0","5.9 - 20.0","",0,"2024-09-30 17:00:57","2024-12-11 12:26:28",Dev Token,Dev Token,288917
85,19,307,all,999,/mL/mnt/1.73 m²,range,"60,9999",>= 60,"",0,"2024-09-30 17:01:01","2024-12-11 12:26:32",Dev Token,Dev Token,288917
86,19,81,all,999,"",contains,Kuning,Kuning Muda,"",0,"2024-09-30 17:01:07","2024-12-12 11:37:15",Dev Token,Dev Token,289274
87,19,82,all,999,"",contains,Jernih,Jernih,"",0,"2024-09-30 17:01:08","2024-12-12 11:37:17",Dev Token,Dev Token,289274
88,19,83,all,999,"",range,"5.0,8.0","5.0 - 8.0","",0,"2024-09-30 17:01:09","2024-12-12 11:37:18",Dev Token,Dev Token,289274
89,19,88,all,999,"",range,"1.001,1.035","1.001 - 1.035","",0,"2024-09-30 17:01:10","2024-12-12 11:37:20",Dev Token,Dev Token,289274
90,19,87,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:11","2024-12-12 11:37:21",Dev Token,Dev Token,289274
91,19,90,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:12","2024-12-12 11:37:23",Dev Token,Dev Token,289274
92,19,89,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:14","2024-12-12 11:37:24",Dev Token,Dev Token,289274
93,19,85,all,999,mg/dL,contains,Normal,Normal,"",0,"2024-09-30 17:01:15","2024-12-12 11:37:26",Dev Token,Dev Token,289274
94,19,91,all,999,Ery/uL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:16","2024-12-12 11:37:27",Dev Token,Dev Token,289274
95,19,92,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:17","2024-12-12 11:37:29",Dev Token,Dev Token,289274
96,19,86,all,999,"",contains,Negatif,Negatif,"",0,"2024-09-30 17:01:18","2024-12-12 11:37:30",Dev Token,Dev Token,289274
97,19,84,all,999,Leu/uL,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:19","2024-12-12 11:37:32",Dev Token,Dev Token,289274
98,19,93,all,999,/ LPB,contains,"0-1,0-2,0-3,0-4,1-2,1-3,1-4,2-3,2-4","0 - 4","",0,"2024-09-30 17:01:20","2024-12-12 11:37:34",Dev Token,Dev Token,289274
99,19,98,all,999,/ LPB,contains,"0-1,0-2,0-3,1-2,1-3,2-3","0 - 3","",0,"2024-09-30 17:01:21","2024-12-12 11:37:35",Dev Token,Dev Token,289274
100,19,94,all,999,/100 LPK,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:22","2024-12-12 11:37:37",Dev Token,Dev Token,289274
101,19,99,all,999,/ LPB,contains,"0-1,0-2,0-3,1-2,1-3,1-4,0-7,2-4,2-3","0 - 7","",0,"2024-09-30 17:01:23","2024-12-12 11:37:38",Dev Token,Dev Token,289274
102,19,95,all,999,/ LPB,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:25","2024-12-12 11:37:40",Dev Token,Dev Token,289274
103,19,97,all,999,/ LPB,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:26","2024-12-12 11:37:41",Dev Token,Dev Token,289274
104,19,304,all,999,/ LPB,contains,Negatif,Negatif,"",0,"2024-09-30 17:01:27","2024-12-12 11:37:43",Dev Token,Dev Token,289274
105,19,96,all,999,"",contains,Negatif,Negatif,"",0,"2024-09-30 17:01:28","2024-12-12 11:37:44",Dev Token,Dev Token,289274
106,21,305,all,999,mg/dL,range,"5.9,20.0","5.9 - 20.0","",0,"2024-10-14 09:28:08","2024-12-11 12:26:28",Dev Token,Dev Token,288917
107,21,307,all,999,/mL/mnt/1.73 m²,range,"60,9999",>= 60,"",0,"2024-10-14 09:28:12","2024-12-11 12:26:32",Dev Token,Dev Token,288917
108,21,148,all,999,"",contains,Non Reaktif,Non Reaktif,"",0,"2024-10-14 09:28:17","2024-12-11 12:26:38",Dev Token,Dev Token,288917
109,21,81,all,999,"",contains,"Kuning,Kuning Muda",Kuning Muda,"",0,"2024-10-14 09:28:18","2024-12-11 12:26:39",Dev Token,Dev Token,288917
