"id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
223,27,timezone,Asia/Makassar,1,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-06-12 19:18:31",wiwin.dwiutami.hakim
224,29,time_span_allowed_for_cancellation,"24",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
225,29,time_span_allowed_for_reschedule,"24",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
226,29,transportation_fee_condition,false,,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
227,29,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
228,29,transportation_fee,"0",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
229,29,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
230,29,min_cart_price,"0",,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-09 15:26:52",wiwin.dwiutami.hakim
231,29,timezone,Asia/Jakarta,1,"2025-01-09 15:26:52",wiwin.dwiutami.hakim,"2025-01-10 18:19:28",wiwin.dwiutami.hakim
232,30,time_span_allowed_for_cancellation,"24",,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
233,30,time_span_allowed_for_reschedule,"24",,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
234,30,transportation_fee_condition,false,,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
235,30,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
236,30,transportation_fee,"0",,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
237,30,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
238,30,min_cart_price,"0",,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
239,30,timezone,Asia/Jakarta,1,"2025-01-14 11:32:30",wiwin.dwiutami.hakim,"2025-01-14 11:32:30",wiwin.dwiutami.hakim
240,31,time_span_allowed_for_cancellation,"24",,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
241,31,time_span_allowed_for_reschedule,"24",,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
242,31,transportation_fee_condition,false,,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
243,31,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
244,31,transportation_fee,"0",,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
245,31,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
246,31,min_cart_price,"0",,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
247,31,timezone,Asia/Jakarta,1,"2025-01-16 16:31:58",wiwin.dwiutami.hakim,"2025-01-16 16:31:58",wiwin.dwiutami.hakim
248,32,time_span_allowed_for_cancellation,"24",,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
249,32,time_span_allowed_for_reschedule,"24",,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
250,32,transportation_fee_condition,false,,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
251,32,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
252,32,transportation_fee,"0",,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
253,32,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
254,32,min_cart_price,"0",,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
255,32,timezone,Asia/Jakarta,1,"2025-01-16 16:34:17",wiwin.dwiutami.hakim,"2025-01-16 16:34:17",wiwin.dwiutami.hakim
256,34,time_span_allowed_for_cancellation,"24",,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
257,34,time_span_allowed_for_reschedule,"24",,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
