"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
187,4,130,inactive,Kediri Kabupaten West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
188,4,131,inactive,Kediri Kabupaten East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
189,4,132,inactive,Jombang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
190,4,133,inactive,Ungaran West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
191,4,134,inactive,Ungaran East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
192,4,135,inactive,Salatiga West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
193,4,136,inactive,Salatiga East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
194,4,137,inactive,Magelang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
195,4,138,inactive,Sukabumi North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
196,4,139,inactive,Sukabumi West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
197,4,140,inactive,Sukabumi Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
198,4,141,inactive,Garut Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
199,4,142,inactive,Kudus Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
200,4,143,inactive,Pangkal Pinang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
201,4,144,inactive,Tanjung Pinang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
